Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1965,2,1.269,,0.61,-0.118,-0.082,-0.774,,,,1.384,,,0.35,5.82,-1.261,0
1965,3,1.147,,0.601,-0.14,-0.103,-0.81,,,,1.411,,,0.38,5.99,-1.414,0
1965,4,1.147,,0.668,-0.045,-0.018,-0.7,,,,1.369,,,0.53,5.9,-1.078,0
1965,5,1.086,,0.68,-0.048,-0.021,-0.722,,,,1.402,,,0.53,5.97,-0.987,0
1965,6,,,0.705,-0.03,0.001,-0.704,,,,1.408,,,,,,5
1965,7,,,0.702,-0.036,-0.006,-0.713,,,,1.414,,,,,,5
1965,8,1.147,,0.674,-0.054,-0.03,-0.731,,,,1.405,,,0.58,5.92,,0
1965,9,1.147,,0.668,-0.048,-0.024,-0.716,,,,1.384,,,0.6,5.97,-1.017,0
1965,10,1.238,,0.668,-0.036,-0.012,-0.688,,,,1.356,,,0.66,5.96,-0.987,0
1965,11,1.147,,0.671,-0.048,-0.006,-0.685,,,,1.356,,,0.52,6.1,-1.017,0
1965,12,1.025,,0.613,-0.109,-0.076,-0.764,,,,1.378,,,0.56,5.92,-1.2,0
1966,1,1.634,,0.622,-0.088,-0.067,-0.758,,,,1.381,,,0.47,5.88,-1.566,0
1966,2,1.086,,0.613,-0.1,-0.079,-0.774,,,,1.387,,,0.52,5.8,-1.17,0
1966,3,1.177,,0.659,-0.079,-0.036,-0.731,,,,1.39,,,0.57,5.89,-1.17,0
1966,4,1.238,,0.635,-0.085,-0.048,-0.734,,,,1.369,,,0.48,5.96,-1.109,0
1966,5,1.116,,0.665,-0.073,-0.03,-0.722,,,,1.387,,,0.56,5.88,-1.139,0
1966,6,0.933,,0.662,-0.039,0.001,-0.658,,,,1.32,,,0.79,6.19,-0.926,0
1966,7,1.025,,0.729,0.019,0.049,-0.633,,,,1.362,,,0.98,6.24,-0.896,0
1966,8,1.116,,0.702,-0.009,0.025,-0.649,,,,1.35,,,0.81,6.09,-1.017,0
1966,9,,,0.732,0.019,0.049,-0.633,,,,1.366,,,,,,5
1966,10,1.147,,0.625,-0.088,-0.06,-0.749,,,,1.375,,,0.57,6.1,-1.2,0
1966,11,1.055,,0.647,-0.06,-0.024,-0.697,,,,1.344,,,0.51,5.77,-1.109,0
1966,12,1.726,,0.607,-0.115,-0.091,-0.789,,,,1.396,,,0.49,5.81,-1.414,0
1967,1,1.299,,0.589,-0.103,-0.085,-0.755,,,,1.344,,,0.38,5.96,-1.109,0
1967,3,1.299,,0.61,-0.118,-0.07,-0.749,,,,1.359,,,0.36,5.95,-1.261,0
1967,4,1.36,,0.665,-0.042,0.01,-0.643,,,,1.308,,,0.54,6.17,-1.2,0
1967,11,1.329,,0.686,-0.057,-0.015,-0.716,,,,1.402,,,0.45,6.04,-1.17,0
1967,12,1.36,,0.677,-0.051,-0.006,-0.688,,,,1.366,,,0.5,5.83,-1.048,0
1968,1,1.025,,0.54,-0.176,-0.124,-0.789,,,,1.329,,,0.49,6.08,-1.536,0
1968,2,0.903,,0.577,-0.121,-0.088,-0.755,,,,1.332,,,0.66,6.27,-1.353,0
1968,3,0.933,,0.571,-0.112,-0.088,-0.746,,,,1.317,,,0.86,6.14,-1.322,0
1968,4,1.086,,0.571,-0.106,-0.07,-0.71,,,,1.28,,,0.8,6.26,-1.078,0
1968,5,0.994,,0.613,-0.073,-0.033,-0.679,,,,1.292,,,0.86,6.15,-1.139,0
1968,6,1.177,,0.711,0.004,0.058,-0.597,,,,1.308,,,0.38,5.98,-0.926,0
1968,7,1.055,,0.689,-0.021,0.019,-0.655,,,,1.344,,,0.48,5.86,-0.896,0
1968,8,1.086,,0.686,-0.024,0.016,-0.658,,,,1.344,,,0.5,5.9,-0.896,0
1968,9,1.116,,0.668,-0.03,-0.002,-0.67,,,,1.338,,,0.35,5.95,-0.957,0
1968,10,1.269,,0.638,-0.057,-0.024,-0.685,,,,1.323,,,0.37,5.97,-1.109,0
1968,11,1.512,,0.717,-0.015,0.031,-0.658,,,,1.375,,,0.51,6.12,-1.261,0
1968,12,1.482,,0.555,-0.146,-0.1,-0.758,,,,1.314,,,0.55,5.98,-1.322,0
1969,1,1.055,,0.507,-0.167,-0.143,-0.795,,,,1.301,,,0.45,5.95,-1.292,0
1969,2,0.994,,0.598,-0.097,-0.063,-0.722,,,,1.32,,,0.35,5.95,-1.292,0
1969,3,0.994,,0.613,-0.063,-0.033,-0.682,,,,1.295,,,0.39,5.54,-1.078,0
1969,4,0.994,,0.628,-0.042,-0.015,-0.661,,,,1.289,,,0.48,5.84,-1.17,0
1969,5,1.147,,0.683,-0.03,0.01,-0.664,,,,1.347,,,0.6,5.95,-0.957,0
1969,6,1.208,,0.744,0.025,0.083,-0.582,,,,1.326,,,0.58,6.08,-0.896,0
1969,7,1.238,,0.766,0.022,0.077,-0.615,,,,1.381,,,0.39,5.74,-0.926,0
1969,8,1.208,,0.75,0.037,0.071,-0.606,,,,1.356,,,0.46,6.08,-0.987,0
1969,9,1.177,,0.72,0.019,0.058,-0.606,,,,1.326,,,0.51,5.88,-0.926,0
1969,10,1.086,,0.699,0.022,0.052,-0.597,,,,1.295,,,0.44,5.94,-1.017,0
1969,11,1.269,,0.732,0.04,0.086,-0.56,,,,1.292,,,0.38,5.86,-0.926,0
1969,12,1.421,,0.677,-0.009,0.046,-0.585,,,,1.262,,,0.38,6.09,-1.109,0
1970,1,1.177,,0.61,-0.079,-0.027,-0.664,,,,1.274,,,0.5,6.17,-1.139,0
1970,2,1.756,,0.644,-0.063,-0.021,-0.685,,,,1.329,,,0.39,6.05,-1.17,0
1970,3,1.329,,0.601,-0.091,-0.051,-0.707,,,,1.308,,,0.42,5.89,-1.2,0
